listing_id,neighborhood,property_type,bedrooms,bathrooms,size_sqft,annual_rent,monthly_rent,price_per_sqft,furnished,amenities,has_metro,beach_accessible,floor_number,building_age_years,posted_date,agent_name,agent_company,tier
PF000011,Bur Dubai,2BR,2,2,1301,81400,6800,62.57,Furnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Shared Spa;View (Sea/Marina/Park),Yes,No,19,15,2025-11-20,Monica Herrera,Dubizzle,Mid-Market
PF000012,Motor City,1BR,1,1,868,79100,6600,91.13,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security;Shared Spa,No,No,20,7,2025-10-27,Jamie Arnold,Espace Real Estate,Mid-Market
PF000013,Bur Dubai,1BR,1,1,1135,95600,8000,84.23,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security;View (Sea/Marina/Park),Yes,No,17,11,2025-11-10,Lisa Hensley,Allsopp & Allsopp,Mid-Market
PF000014,Dubai Sports City,1BR,1,1,755,65400,5400,86.62,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Parking;Security,No,No,40,13,2025-10-06,Michele Williams,Bayut,Budget
PF000015,Deira,3BR,3,2,1323,103500,8600,78.23,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security,Yes,No,22,6,2025-10-10,Dylan Miller,Property Finder,Budget
PF000016,Deira,Studio,0,1,460,47100,3900,102.39,Unfurnished,Balcony;Central AC;Parking;Security;Shared Spa;Study Room,Yes,No,37,0,2025-11-14,Brian Ramirez,Haus & Haus,Budget
PF000017,Jumeirah Lake Towers (JLT),3BR,3,2,2315,225400,18800,97.37,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Pets Allowed;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,28,4,2025-11-12,Holly Wood,Bayut,Mid-Market
PF000018,Al Nahda,2BR,2,2,1053,73200,6100,69.52,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;View (Sea/Marina/Park),Yes,No,37,13,2025-11-03,Derek Zuniga,Allsopp & Allsopp,Budget
PF000019,Jumeirah Beach Residence (JBR),Studio,0,1,547,99700,8300,182.27,Semi-Furnished,Balcony;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Swimming Pool;View (Sea/Marina/Park),No,Yes,31,9,2025-09-21,Lisa Jackson,Bayut,Luxury
PF000020,DIFC,1BR,1,1,1368,147900,12300,108.11,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,33,7,2025-11-17,Carla Gray,Bayut,Luxury
PF000021,Dubai Media City,1BR,1,1,1128,161000,13400,142.73,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;View (Sea/Marina/Park),Yes,No,11,3,2025-11-22,Margaret Hawkins DDS,Property Finder,Premium
PF000022,Motor City,1BR,1,1,933,80300,6700,86.07,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Security;View (Sea/Marina/Park),No,No,30,16,2025-09-01,Patty Perez,Property Finder,Mid-Market
PF000023,Discovery Gardens,2BR,2,2,1429,110000,9200,76.98,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Security;Shared Spa,Yes,No,19,14,2025-11-01,Ethan Adams,Haus & Haus,Budget
PF000024,Downtown Dubai,2BR,2,2,1319,155100,12900,117.59,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Swimming Pool,Yes,No,44,16,2025-09-14,Tommy Walter,Haus & Haus,Luxury
PF000025,Motor City,1BR,1,1,914,82300,6900,90.04,Unfurnished,Built-in Wardrobes;Central AC;Gym;Parking;Security;Shared Spa,No,No,36,5,2025-09-01,Matthew Foster,Allsopp & Allsopp,Mid-Market
PF000026,Downtown Dubai,2BR,2,2,1224,182300,15200,148.94,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool,Yes,No,25,0,2025-09-28,Judy Baker,Driven Properties,Luxury
PF000027,Al Barsha,2BR,2,2,1225,97000,8100,79.18,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Pets Allowed;Security;View (Sea/Marina/Park),Yes,No,31,0,2025-10-11,Justin Baker,Haus & Haus,Mid-Market
PF000028,Bur Dubai,1BR,1,1,1097,87800,7300,80.04,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Study Room,Yes,No,17,8,2025-09-26,Stephanie Ross,Property Finder,Mid-Market
PF000029,Al Barsha,2BR,2,2,1268,94800,7900,74.76,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,18,14,2025-10-27,Zachary Hicks,Property Finder,Mid-Market
PF000030,Al Barsha,2BR,2,2,1455,106000,8800,72.85,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Security,Yes,No,14,8,2025-09-07,Anthony Rodriguez,Driven Properties,Mid-Market
PF000031,Jumeirah Lake Towers (JLT),1BR,1,1,957,82000,6800,85.68,Unfurnished,Built-in Wardrobes;Central AC;Maid's Room;Parking;Pets Allowed;Security;Study Room;Swimming Pool,Yes,No,5,16,2025-09-25,Rebecca Henderson,Espace Real Estate,Mid-Market
PF000032,Dubai Marina,2BR,2,2,2196,128400,10700,58.47,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,Yes,17,4,2025-10-30,James Ferrell,Haus & Haus,Luxury
PF000033,Dubai Internet City,3BR,3,2,4844,854700,71200,176.45,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Pets Allowed;Security;Study Room;View (Sea/Marina/Park),Yes,No,27,18,2025-09-23,Tricia Valencia,Dubizzle,Luxury
PF000034,Motor City,1BR,1,1,885,86800,7200,98.08,Semi-Furnished,Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security,No,No,8,16,2025-11-03,Nathan Maldonado,Dubizzle,Mid-Market
PF000035,Dubai Media City,1BR,1,1,1123,166800,13900,148.53,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,15,4,2025-10-22,Debra Davidson,Allsopp & Allsopp,Premium
PF000036,Dubai Marina,1BR,1,1,870,66900,5600,76.9,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Pets Allowed;Security;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,Yes,37,5,2025-09-07,Jeffrey Chavez,Allsopp & Allsopp,Luxury
PF000037,Deira,2BR,2,2,1309,74800,6200,57.14,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Security;View (Sea/Marina/Park),Yes,No,2,19,2025-11-05,Sherri Baker,Allsopp & Allsopp,Budget
PF000038,DIFC,Studio,0,1,596,84700,7100,142.11,Furnished,Central AC;Children's Play Area;Covered Parking;Maid's Room;Parking;Security;Shared Spa;Swimming Pool;View (Sea/Marina/Park),Yes,No,26,13,2025-11-17,Cassandra Gaines,Driven Properties,Luxury
PF000039,International City,Studio,0,1,440,48800,4100,110.91,Furnished,Balcony;Central AC;Parking;Security;Swimming Pool,No,No,9,16,2025-09-25,Elizabeth Fowler,Property Finder,Budget
PF000040,International City,1BR,1,1,675,39000,3200,57.78,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Security;View (Sea/Marina/Park),No,No,35,4,2025-11-15,Brittany Farmer,Haus & Haus,Budget
PF000041,Jumeirah Lake Towers (JLT),2BR,2,2,1584,121900,10200,76.96,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Maid's Room;Parking;Security;View (Sea/Marina/Park),Yes,No,40,7,2025-09-24,Paula Moreno,Dubizzle,Mid-Market
PF000042,Discovery Gardens,1BR,1,1,954,73300,6100,76.83,Unfurnished,Built-in Wardrobes;Central AC;Maid's Room;Parking;Security,Yes,No,10,4,2025-09-22,Fred Smith,Dubizzle,Budget
PF000043,Jumeirah,Studio,0,1,1130,116900,9700,103.45,Furnished,Central AC;Children's Play Area;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),No,Yes,10,7,2025-11-09,Sherry Decker,Driven Properties,Luxury
PF000044,Dubai Media City,1BR,1,1,1119,172600,14400,154.24,Unfurnished,Built-in Wardrobes;Central AC;Gym;Parking;Pets Allowed;Security;Study Room;View (Sea/Marina/Park),Yes,No,42,16,2025-10-23,Anthony Humphrey,Allsopp & Allsopp,Premium
PF000045,Barsha Heights (Tecom),Studio,0,1,465,52500,4400,112.9,Unfurnished,Central AC;Covered Parking;Gym;Maid's Room;Parking;Security,Yes,No,26,8,2025-10-08,Angelica Tucker,Dubizzle,Mid-Market
PF000046,Al Barsha,1BR,1,1,848,69600,5800,82.08,Unfurnished,Built-in Wardrobes;Central AC;Gym;Parking;Security;View (Sea/Marina/Park),Yes,No,22,17,2025-10-31,Philip Cannon,Haus & Haus,Mid-Market
PF000047,Discovery Gardens,3BR,3,2,1429,110000,9200,76.98,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Gym;Maid's Room;Parking;Security;View (Sea/Marina/Park),Yes,No,26,12,2025-10-28,John Pierce,Haus & Haus,Budget
PF000048,Dubai Sports City,2BR,2,2,1115,90400,7500,81.08,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security,No,No,23,17,2025-10-26,Shane Henderson,Espace Real Estate,Budget
PF000049,Bur Dubai,Studio,0,1,353,44200,3700,125.21,Unfurnished,Central AC;Covered Parking;Maid's Room;Parking;Security;Study Room;Swimming Pool,Yes,No,18,6,2025-09-05,Joshua Blair,Bayut,Mid-Market
PF000050,Downtown Dubai,1BR,1,1,939,178500,14900,190.1,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Parking;Pets Allowed;Security;Swimming Pool;View (Sea/Marina/Park),Yes,No,17,9,2025-09-04,Eric Carney,Driven Properties,Luxury
PF000051,Dubai Sports City,3BR,3,2,1910,120700,10100,63.19,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security;Study Room,No,No,32,4,2025-10-31,Jessica Holmes,Dubizzle,Budget
PF000052,Motor City,1BR,1,1,899,90300,7500,100.44,Furnished,Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security,No,No,17,13,2025-10-07,Danny Morgan,Bayut,Mid-Market
PF000053,Dubai Internet City,2BR,2,2,4800,921400,76800,191.96,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Gym;Parking;Pets Allowed;Security;Shared Spa;Study Room;View (Sea/Marina/Park),Yes,No,33,3,2025-11-07,Crystal Robinson,Espace Real Estate,Luxury
PF000054,Jumeirah Lake Towers (JLT),2BR,2,2,1674,123300,10300,73.66,Furnished,Balcony;Built-in Wardrobes;Central AC;Parking;Pets Allowed;Security;Shared Spa,Yes,No,37,11,2025-10-21,Mark Perez,Allsopp & Allsopp,Mid-Market
PF000055,Al Nahda,Studio,0,1,412,37500,3100,91.02,Unfurnished,Central AC;Gym;Parking;Security,Yes,No,16,5,2025-09-09,Shannon Jones,Property Finder,Budget
PF000056,Dubai Silicon Oasis,2BR,2,2,1099,94100,7800,85.62,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Maid's Room;Parking;Security,No,No,23,17,2025-10-12,Michael Lewis,Espace Real Estate,Budget
PF000057,Motor City,2BR,2,2,1650,112200,9400,68.0,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool,No,No,25,12,2025-11-25,Timothy Duncan,Bayut,Mid-Market
PF000058,Discovery Gardens,1BR,1,1,926,72200,6000,77.97,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Parking;Security;View (Sea/Marina/Park),Yes,No,44,14,2025-10-03,Richard Aguirre,Property Finder,Budget
PF000059,Arabian Ranches,1BR,1,1,1918,171700,14300,89.52,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),No,No,24,3,2025-09-11,Brent Jordan,Allsopp & Allsopp,Luxury
PF000060,Al Nahda,2BR,2,2,1133,69000,5800,60.9,Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Security;Shared Spa;Swimming Pool,Yes,No,26,8,2025-09-16,John Daniel,Property Finder,Budget
PF000061,Al Nahda,2BR,2,2,1130,69900,5800,61.86,Furnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Parking;Security;Shared Spa;Study Room,Yes,No,25,8,2025-11-16,Victoria Garcia,Allsopp & Allsopp,Budget
PF000062,International City,Studio,0,1,436,39900,3300,91.51,Furnished,Central AC;Children's Play Area;Parking;Security,No,No,5,15,2025-09-11,Gerald Hensley,Bayut,Budget
PF000063,Discovery Gardens,3BR,3,2,1429,110000,9200,76.98,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Pets Allowed;Security;Shared Spa,Yes,No,17,0,2025-09-02,Connor West,Dubizzle,Budget
PF000064,Dubai Silicon Oasis,2BR,2,2,1217,102000,8500,83.81,Furnished,Balcony;Built-in Wardrobes;Central AC;Parking;Pets Allowed;Security;View (Sea/Marina/Park),No,No,43,6,2025-10-18,Donald Wright,Espace Real Estate,Budget
PF000065,Dubai Marina,2BR,2,2,1506,120700,10100,80.15,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,Yes,15,4,2025-09-27,Jessica Callahan,Haus & Haus,Luxury
PF000066,Arabian Ranches,Studio,0,1,1971,172100,14300,87.32,Unfurnished,Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool,No,No,7,10,2025-10-08,Amber Kidd,Property Finder,Luxury
PF000067,Barsha Heights (Tecom),1BR,1,1,1008,106200,8800,105.36,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security;Study Room;Swimming Pool,Yes,No,21,14,2025-10-04,Tracy House,Haus & Haus,Mid-Market
PF000068,Deira,1BR,1,1,541,47500,4000,87.8,Furnished,Built-in Wardrobes;Central AC;Parking;Security;Study Room,Yes,No,8,14,2025-11-12,Carol Tucker,Dubizzle,Budget
PF000069,Motor City,2BR,2,2,1608,104400,8700,64.93,Furnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Study Room,No,No,2,7,2025-09-30,James Brown,Dubizzle,Mid-Market
PF000070,Al Nahda,Studio,0,1,517,46900,3900,90.72,Furnished,Central AC;Children's Play Area;Parking;Security;Shared Spa,Yes,No,32,14,2025-10-19,William Baker,Driven Properties,Budget
PF000071,Deira,2BR,2,2,1173,81200,6800,69.22,Furnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Swimming Pool,Yes,No,44,16,2025-11-14,Jordan Henderson,Dubizzle,Budget
PF000072,Business Bay,3BR,3,2,1898,184500,15400,97.21,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room;Swimming Pool,Yes,No,25,3,2025-11-22,Whitney Peters,Driven Properties,Premium
PF000073,Motor City,1BR,1,1,924,101500,8500,109.85,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Gym;Parking;Security;Swimming Pool,No,No,18,5,2025-10-28,Brittney Phillips,Bayut,Mid-Market
PF000074,Deira,1BR,1,1,717,42900,3600,59.83,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security,Yes,No,4,11,2025-11-05,Lauren Daniels,Driven Properties,Budget
PF000075,Al Nahda,Studio,0,1,481,42500,3500,88.36,Unfurnished,Central AC;Parking;Security;Study Room;Swimming Pool,Yes,No,18,7,2025-11-17,Amy Silva,Haus & Haus,Budget
PF000076,Jumeirah,Studio,0,1,1381,137900,11500,99.86,Unfurnished,Balcony;Central AC;Covered Parking;Maid's Room;Parking;Pets Allowed;Security;Swimming Pool;View (Sea/Marina/Park),No,Yes,14,6,2025-09-30,Sarah Moore,Property Finder,Luxury
PF000077,Bur Dubai,Studio,0,1,338,42600,3600,126.04,Unfurnished,Central AC;Covered Parking;Maid's Room;Parking;Security;Shared Spa;Swimming Pool,Yes,No,8,10,2025-11-28,Angela Lopez,Allsopp & Allsopp,Mid-Market
PF000078,Bur Dubai,Studio,0,1,406,50500,4200,124.38,Furnished,Balcony;Central AC;Covered Parking;Parking;Security;Shared Spa;Study Room,Yes,No,35,5,2025-11-03,Megan Young,Haus & Haus,Mid-Market
PF000079,DIFC,1BR,1,1,1008,120800,10100,119.84,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Pets Allowed;Security;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,1,7,2025-11-21,Steve Sanchez,Haus & Haus,Luxury
PF000080,Al Barsha,3BR,3,2,1483,165200,13800,111.4,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Study Room,Yes,No,28,15,2025-09-22,Lisa Barnes,Driven Properties,Mid-Market
PF000081,Al Barsha,2BR,2,2,1364,125200,10400,91.79,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security;Swimming Pool,Yes,No,23,18,2025-09-08,Kelly Donovan,Haus & Haus,Mid-Market
PF000082,Motor City,Studio,0,1,655,61500,5100,93.89,Unfurnished,Central AC;Parking;Pets Allowed;Security;Shared Spa,No,No,10,1,2025-09-18,Mike Allen,Driven Properties,Mid-Market
PF000083,Discovery Gardens,1BR,1,1,899,61400,5100,68.3,Unfurnished,Built-in Wardrobes;Central AC;Children's Play Area;Covered Parking;Parking;Security;View (Sea/Marina/Park),Yes,No,15,3,2025-09-10,Michael Evans,Dubizzle,Budget
PF000084,Al Barsha,Studio,0,1,406,49900,4200,122.91,Semi-Furnished,Central AC;Parking;Pets Allowed;Security;View (Sea/Marina/Park),Yes,No,30,10,2025-11-25,Paul Jones,Espace Real Estate,Mid-Market
PF000085,Bur Dubai,Studio,0,1,426,53300,4400,125.12,Semi-Furnished,Balcony;Central AC;Gym;Parking;Security;Study Room,Yes,No,22,8,2025-10-13,Zachary Ferrell,Bayut,Mid-Market
PF000086,Dubai Media City,2BR,2,2,1536,206300,17200,134.31,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Parking;Pets Allowed;Security;Shared Spa;Study Room,Yes,No,5,14,2025-09-16,Daniel Baker,Property Finder,Premium
PF000087,Jumeirah,3BR,3,2,2327,320800,26700,137.86,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Gym;Maid's Room;Parking;Pets Allowed;Security;Study Room;Swimming Pool;View (Sea/Marina/Park),No,Yes,30,17,2025-09-26,Shirley Suarez,Dubizzle,Luxury
PF000088,Al Barsha,1BR,1,1,998,73800,6200,73.95,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Parking;Security;Study Room,Yes,No,2,4,2025-09-22,Christopher Bass,Allsopp & Allsopp,Mid-Market
PF000089,Jumeirah Lake Towers (JLT),1BR,1,1,984,78700,6600,79.98,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Parking;Security;Study Room;Swimming Pool,Yes,No,8,11,2025-09-03,Lisa Archer,Bayut,Mid-Market
PF000090,Al Nahda,Studio,0,1,391,38400,3200,98.21,Semi-Furnished,Central AC;Parking;Security;Shared Spa,Yes,No,44,0,2025-09-06,Aimee Montoya,Property Finder,Budget
PF000091,Bur Dubai,Studio,0,1,348,44100,3700,126.72,Unfurnished,Central AC;Children's Play Area;Covered Parking;Parking;Security;Shared Spa,Yes,No,2,8,2025-09-24,Matthew Mcmillan,Property Finder,Mid-Market
PF000092,Barsha Heights (Tecom),1BR,1,1,1148,86800,7200,75.61,Unfurnished,Built-in Wardrobes;Central AC;Covered Parking;Parking;Security;View (Sea/Marina/Park),Yes,No,3,15,2025-10-30,Brian Rodriguez,Espace Real Estate,Mid-Market
PF000093,Barsha Heights (Tecom),Studio,0,1,500,55400,4600,110.8,Unfurnished,Balcony;Central AC;Children's Play Area;Parking;Pets Allowed;Security,Yes,No,3,2,2025-09-25,Denise Jacobs,Property Finder,Mid-Market
PF000094,Motor City,2BR,2,2,1698,105900,8800,62.37,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Parking;Security;Shared Spa;Swimming Pool,No,No,31,18,2025-09-30,Christina Walters,Haus & Haus,Mid-Market
PF000095,Arabian Ranches,1BR,1,1,2018,175200,14600,86.82,Semi-Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Gym;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool;View (Sea/Marina/Park),No,No,17,4,2025-11-25,John Whitehead,Espace Real Estate,Luxury
PF000096,Dubai Media City,Studio,0,1,1129,168300,14000,149.07,Unfurnished,Balcony;Central AC;Children's Play Area;Gym;Maid's Room;Parking;Security;Swimming Pool,Yes,No,27,5,2025-10-05,Anna Henderson,Espace Real Estate,Premium
PF000097,International City,2BR,2,2,1054,67300,5600,63.85,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security,No,No,21,19,2025-09-30,Aaron Wise,Espace Real Estate,Budget
PF000098,Dubai Internet City,Studio,0,1,4926,1041500,86800,211.43,Furnished,Balcony;Central AC;Gym;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;View (Sea/Marina/Park),Yes,No,10,17,2025-10-12,Deborah Figueroa,Bayut,Luxury
PF000099,Jumeirah Lake Towers (JLT),2BR,2,2,1855,135800,11300,73.21,Furnished,Balcony;Built-in Wardrobes;Central AC;Gym;Parking;Pets Allowed;Security,Yes,No,23,10,2025-11-21,Jessica Smith,Property Finder,Mid-Market
PF000100,Downtown Dubai,Studio,0,1,484,77600,6500,160.33,Furnished,Central AC;Children's Play Area;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool;View (Sea/Marina/Park),Yes,No,40,8,2025-09-09,Stephen Mckee,Bayut,Luxury
PF000101,Bur Dubai,Studio,0,1,354,44300,3700,125.14,Unfurnished,Central AC;Covered Parking;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool,Yes,No,32,1,2025-10-28,Sandra Aguilar,Dubizzle,Mid-Market
PF000102,Jumeirah Beach Residence (JBR),Studio,0,1,533,130400,10900,244.65,Unfurnished,Balcony;Central AC;Children's Play Area;Covered Parking;Gym;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool;View (Sea/Marina/Park),No,Yes,39,16,2025-10-28,Cameron Parker,Allsopp & Allsopp,Luxury
PF000103,DIFC,1BR,1,1,1231,128300,10700,104.22,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Gym;Maid's Room;Parking;Security;Study Room;Swimming Pool;View (Sea/Marina/Park),Yes,No,15,19,2025-11-27,Rebecca Valencia,Dubizzle,Luxury
PF000104,Al Nahda,1BR,1,1,686,44500,3700,64.87,Unfurnished,Built-in Wardrobes;Central AC;Gym;Parking;Security;View (Sea/Marina/Park),Yes,No,16,7,2025-11-21,Christine Wright,Property Finder,Budget
PF000105,Jumeirah,3BR,3,2,2506,335000,27900,133.68,Unfurnished,Balcony;Built-in Wardrobes;Central AC;Covered Parking;Gym;Maid's Room;Parking;Security;Shared Spa;Swimming Pool,No,Yes,13,9,2025-11-16,Richard Henson,Bayut,Luxury
PF000106,Motor City,2BR,2,2,1783,121000,10100,67.86,Furnished,Balcony;Built-in Wardrobes;Central AC;Children's Play Area;Parking;Security;Study Room;Swimming Pool,No,No,39,9,2025-09-05,Marc Moore,Driven Properties,Mid-Market
PF000107,Dubai Internet City,Studio,0,1,5023,1044900,87100,208.02,Unfurnished,Balcony;Central AC;Covered Parking;Gym;Maid's Room;Parking;Pets Allowed;Security;Shared Spa;Swimming Pool,Yes,No,19,18,2025-10-26,Sharon Cherry,Property Finder,Luxury
PF000108,Deira,Studio,0,1,515,52600,4400,102.14,Semi-Furnished,Central AC;Parking;Security;Study Room,Yes,No,33,16,2025-10-13,Sierra Johnson,Driven Properties,Budget
