tenant_id,age,profession,monthly_income,family_size,preferred_property_type,max_monthly_rent,max_annual_rent,nationality,move_in_timeline,pets
T00056,22,Finance Professional,44519,2,2BR,16358,196296,Isle of Man,Within 3 months,No
T00057,25,Sales & Marketing,32835,2,1BR,10692,128304,Brunei Darussalam,Within 1 month,No
T00058,25,Healthcare Worker,20138,1,1BR,6692,80304,Mauritius,Immediate,No
T00059,35,Hospitality,13660,3,3BR,5753,69036,Sao Tome and Principe,Immediate,No
T00060,43,Finance Professional,26924,4,3BR,6791,81492,Oman,Within 3 months,Yes
T00061,39,Manager,46639,2,1BR,15588,187056,Morocco,Within 1 month,Yes
T00062,26,Consultant,33332,2,2BR,12516,150192,Palestinian Territory,Immediate,No
T00063,42,Sales & Marketing,16855,2,2BR,5300,63600,Cocos (Keeling) Islands,Within 1 month,No
T00064,22,Manager,52577,1,1BR,22058,264696,Chad,Flexible,No
T00065,30,Manager,37543,3,3BR,16371,196452,Comoros,Within 3 months,No
T00066,40,Manager,35053,4,3BR,15654,187848,Mali,Within 3 months,No
T00067,57,Teacher,9559,2,1BR,2980,35760,Eritrea,Within 1 month,No
T00068,47,Entrepreneur,80000,3,3BR,35116,421392,Costa Rica,Flexible,No
T00069,37,Healthcare Worker,15313,5,3BR,3861,46332,Guyana,Immediate,No
T00070,34,Hospitality,6000,2,2BR,1921,23052,Thailand,Within 1 month,Yes
T00071,32,Entrepreneur,46090,2,2BR,12376,148512,Kyrgyz Republic,Within 1 month,No
T00072,22,Entrepreneur,41018,4,3BR,13422,161064,New Caledonia,Within 3 months,No
T00073,22,Teacher,15336,5,3BR,4131,49572,United States Minor Outlying Islands,Flexible,No
T00074,42,Hospitality,14202,4,3BR,5738,68856,Nicaragua,Immediate,No
T00075,40,IT Professional,33855,1,Studio,11372,136464,Comoros,Within 1 month,No
T00076,32,IT Professional,25024,3,3BR,10535,126420,Mauritania,Within 1 month,Yes
T00077,33,Engineer,26246,1,Studio,7249,86988,Oman,Within 1 month,No
T00078,48,Manager,42783,2,1BR,12456,149472,Nepal,Within 3 months,No
T00079,42,Healthcare Worker,24189,3,2BR,7199,86388,Ghana,Within 1 month,Yes
T00080,49,Engineer,15000,2,2BR,5168,62016,Uzbekistan,Flexible,No
T00081,39,Hospitality,13416,2,2BR,5716,68592,Montserrat,Within 1 month,No
T00082,32,Entrepreneur,54845,4,3BR,19171,230052,French Southern Territories,Within 3 months,Yes
T00083,43,Sales & Marketing,19612,2,2BR,5586,67032,Heard Island and McDonald Islands,Within 1 month,Yes
T00084,35,Entrepreneur,52679,1,1BR,19625,235500,Turkey,Flexible,No
T00085,47,IT Professional,37206,4,2BR,15773,189276,United Kingdom,Flexible,Yes
T00086,47,Hospitality,9949,4,2BR,3549,42588,Monaco,Flexible,Yes
T00087,37,Engineer,27451,4,3BR,6886,82632,Mongolia,Immediate,Yes
T00088,36,Hospitality,17919,2,1BR,6663,79956,Chad,Within 3 months,No
T00089,27,Engineer,23857,3,2BR,6776,81312,Cape Verde,Within 3 months,Yes
T00090,33,Consultant,26293,2,1BR,7943,95316,Greece,Within 3 months,No
T00091,22,Healthcare Worker,17208,1,1BR,5060,60720,Bahrain,Within 1 month,No
T00092,48,Engineer,21981,4,2BR,5983,71796,Norway,Within 3 months,No
T00093,27,Entrepreneur,45740,3,2BR,12948,155376,Liberia,Immediate,No
T00094,37,Healthcare Worker,24376,2,1BR,8614,103368,Fiji,Within 1 month,No
T00095,35,IT Professional,29021,2,1BR,7290,87480,Trinidad and Tobago,Within 3 months,No
T00096,43,IT Professional,23770,3,3BR,9762,117144,Libyan Arab Jamahiriya,Flexible,No
T00097,35,Healthcare Worker,19939,1,1BR,6670,80040,Gibraltar,Within 1 month,No
T00098,23,Sales & Marketing,16760,2,2BR,7322,87864,Christmas Island,Flexible,No
T00099,59,Hospitality,14485,2,2BR,5774,69288,Nepal,Immediate,No
T00100,22,Teacher,14047,2,2BR,5702,68424,Faroe Islands,Within 1 month,No
T00101,32,Healthcare Worker,16007,1,1BR,6440,77280,Nigeria,Within 1 month,No
T00102,31,Teacher,14327,3,3BR,5122,61464,Kenya,Within 3 months,No
T00103,36,Teacher,11243,4,2BR,4188,50256,Kuwait,Immediate,No
T00104,22,Engineer,28809,1,Studio,8489,101868,Guinea,Within 1 month,Yes
T00105,34,Hospitality,9096,2,2BR,2314,27768,Indonesia,Within 1 month,No
T00106,33,Sales & Marketing,27239,3,2BR,7921,95052,Haiti,Flexible,No
T00107,29,Teacher,13025,1,Studio,5103,61236,Germany,Within 1 month,No
T00108,33,Sales & Marketing,14317,2,2BR,5441,65292,Bosnia and Herzegovina,Within 1 month,Yes
T00109,29,Engineer,19419,1,1BR,5135,61620,Central African Republic,Within 1 month,Yes
T00110,30,Engineer,29938,2,2BR,12013,144156,Malaysia,Flexible,No
T00111,25,Finance Professional,52630,1,Studio,14429,173148,Tanzania,Flexible,No
T00112,22,Engineer,29685,1,Studio,8756,105072,Singapore,Within 3 months,No
T00113,22,Sales & Marketing,23365,2,1BR,7726,92712,Sudan,Immediate,Yes
T00114,40,Entrepreneur,55897,1,1BR,18686,224232,Malaysia,Immediate,No
T00115,33,Consultant,39555,2,2BR,15905,190860,Peru,Within 3 months,No
T00116,24,Engineer,32281,3,3BR,9748,116976,Tuvalu,Within 3 months,Yes
T00117,40,Entrepreneur,34409,2,1BR,10994,131928,Niger,Within 1 month,Yes
T00118,29,Teacher,12953,2,2BR,3882,46584,Paraguay,Within 3 months,No
T00119,27,Teacher,12687,1,1BR,4452,53424,Grenada,Within 1 month,No
T00120,23,Hospitality,13754,3,3BR,4568,54816,Jordan,Within 3 months,No
T00121,38,Engineer,24914,1,Studio,10311,123732,Cook Islands,Immediate,No
T00122,54,Entrepreneur,39426,3,3BR,14531,174372,Mauritania,Flexible,No
T00123,39,Hospitality,17409,2,2BR,6114,73368,Comoros,Within 1 month,No
T00124,34,IT Professional,39788,4,3BR,11555,138660,Japan,Flexible,No
T00125,38,Finance Professional,29594,2,2BR,11225,134700,Liechtenstein,Within 1 month,Yes
T00126,59,Finance Professional,37358,1,1BR,9881,118572,Ireland,Within 3 months,No
T00127,43,Finance Professional,37476,2,2BR,10592,127104,Jamaica,Flexible,No
T00128,27,Engineer,33478,1,1BR,11481,137772,Guatemala,Immediate,Yes
T00129,42,Healthcare Worker,12000,2,2BR,3945,47340,Sierra Leone,Immediate,Yes
T00130,22,Hospitality,15156,1,Studio,6726,80712,Korea,Immediate,No
T00131,39,IT Professional,34818,1,Studio,9195,110340,Azerbaijan,Flexible,No
T00132,29,Hospitality,12160,2,1BR,4005,48060,Cote d'Ivoire,Flexible,No
T00133,22,Entrepreneur,51176,3,2BR,15774,189288,Belgium,Within 1 month,No
T00134,41,Sales & Marketing,18180,1,1BR,6566,78792,Saint Pierre and Miquelon,Flexible,Yes
T00135,50,Hospitality,12639,2,2BR,4232,50784,Afghanistan,Immediate,No
T00136,40,Manager,32229,1,Studio,10174,122088,Belgium,Within 1 month,Yes
T00137,45,Manager,35256,3,2BR,8883,106596,Chad,Within 1 month,No
T00138,40,Consultant,38879,1,Studio,12591,151092,Brunei Darussalam,Within 1 month,No
T00139,32,Consultant,35629,1,1BR,12352,148224,Niue,Within 3 months,No
T00140,31,Finance Professional,37627,3,2BR,14430,173160,Barbados,Flexible,No
T00141,46,Hospitality,19182,2,1BR,8448,101376,Ecuador,Flexible,No
T00142,22,Finance Professional,53718,4,2BR,20424,245088,Czech Republic,Flexible,Yes
T00143,31,Hospitality,10270,2,2BR,4390,52680,Norway,Within 1 month,No
T00144,37,IT Professional,26111,1,1BR,9846,118152,Senegal,Within 3 months,No
T00145,32,Teacher,13462,1,1BR,5956,71472,Venezuela,Within 3 months,No
T00146,24,Hospitality,17500,2,2BR,7148,85776,Reunion,Immediate,No
T00147,34,Manager,26792,2,2BR,6861,82332,Maldives,Flexible,No
T00148,35,Manager,44888,1,Studio,19478,233736,Lithuania,Flexible,No
T00149,31,Hospitality,7459,1,Studio,2263,27156,Guinea-Bissau,Within 1 month,No
T00150,38,Engineer,26406,1,Studio,9202,110424,Solomon Islands,Immediate,No
T00151,33,Engineer,24200,1,Studio,10310,123720,Cote d'Ivoire,Immediate,No
T00152,49,Consultant,38126,5,3BR,9929,119148,Norway,Immediate,No
T00153,30,Sales & Marketing,21376,4,3BR,9316,111792,Singapore,Within 1 month,No
T00154,22,Sales & Marketing,20583,4,3BR,6338,76056,Pitcairn Islands,Immediate,No
T00155,35,Finance Professional,51913,3,3BR,18453,221436,Solomon Islands,Flexible,No
T00156,22,Healthcare Worker,31681,2,2BR,13047,156564,Estonia,Within 3 months,No
T00157,45,Engineer,31622,1,Studio,14193,170316,Christmas Island,Within 1 month,No
T00158,40,Finance Professional,51588,5,3BR,22995,275940,Barbados,Immediate,No
T00159,42,Manager,41528,2,2BR,14385,172620,Gabon,Within 3 months,Yes
T00160,36,IT Professional,22578,3,3BR,6756,81072,France,Flexible,No
T00161,53,Finance Professional,28789,1,1BR,7369,88428,Saint Pierre and Miquelon,Immediate,No
T00162,25,Healthcare Worker,20221,3,2BR,6697,80364,Malawi,Flexible,No
T00163,48,Finance Professional,44710,2,2BR,19319,231828,Croatia,Immediate,Yes
T00164,44,IT Professional,31341,3,2BR,8287,99444,Sweden,Within 1 month,No
T00165,29,Healthcare Worker,26653,1,1BR,10795,129540,Somalia,Within 1 month,Yes
T00166,44,Entrepreneur,78478,3,3BR,22452,269424,Grenada,Flexible,No
T00167,38,Teacher,11828,1,1BR,3125,37500,France,Immediate,No
T00168,28,Engineer,31357,4,3BR,11537,138444,Philippines,Immediate,No
T00169,56,Healthcare Worker,24843,1,1BR,9111,109332,Singapore,Immediate,No
T00170,22,Consultant,45264,1,Studio,17278,207336,Senegal,Flexible,No
T00171,31,Consultant,36837,4,3BR,15306,183672,Greenland,Immediate,No
T00172,27,Sales & Marketing,24485,2,2BR,7772,93264,Saudi Arabia,Immediate,No
T00173,43,Hospitality,10605,2,2BR,3249,38988,Slovenia,Immediate,No
T00174,33,Consultant,33820,1,1BR,9241,110892,Korea,Within 3 months,No
T00175,35,Entrepreneur,58405,2,2BR,23661,283932,France,Within 1 month,No
T00176,30,Engineer,27518,3,2BR,8927,107124,Mongolia,Flexible,No
T00177,22,Sales & Marketing,27065,2,2BR,10480,125760,Madagascar,Flexible,No
T00178,44,Entrepreneur,76501,1,Studio,33700,404400,Malta,Within 1 month,No
T00179,30,Entrepreneur,71649,2,2BR,18831,225972,Rwanda,Within 3 months,Yes
T00180,22,IT Professional,33510,1,Studio,13963,167556,Niue,Within 3 months,Yes
T00181,27,Manager,31385,3,2BR,11414,136968,Djibouti,Immediate,No
T00182,36,IT Professional,38687,1,Studio,15779,189348,Niger,Within 1 month,No
T00183,50,Engineer,24731,3,2BR,9952,119424,Jamaica,Within 3 months,No
T00184,41,Healthcare Worker,31479,2,1BR,12225,146700,Turks and Caicos Islands,Within 1 month,No
T00185,40,Hospitality,13180,4,2BR,5308,63696,Mali,Flexible,No
T00186,31,Sales & Marketing,35000,3,3BR,13725,164700,Cook Islands,Within 1 month,No
T00187,29,Teacher,16027,2,1BR,6918,83016,Monaco,Flexible,No
T00188,24,Consultant,19416,1,1BR,7529,90348,Puerto Rico,Flexible,Yes
T00189,34,IT Professional,38421,1,1BR,9827,117924,Brunei Darussalam,Flexible,Yes
T00190,25,Entrepreneur,34577,4,3BR,9222,110664,Guyana,Within 3 months,No
T00191,45,Hospitality,14543,4,3BR,6111,73332,Canada,Within 1 month,No
T00192,22,Finance Professional,24009,2,1BR,7395,88740,Holy See (Vatican City State),Flexible,No
T00193,39,Sales & Marketing,14267,3,2BR,6104,73248,Trinidad and Tobago,Within 1 month,No
T00194,28,Healthcare Worker,12000,2,2BR,4892,58704,France,Within 3 months,No
T00195,47,Consultant,38813,2,2BR,14686,176232,Cuba,Flexible,Yes
T00196,32,Sales & Marketing,17915,3,3BR,5877,70524,Argentina,Within 1 month,No
T00197,41,Consultant,35092,3,3BR,10749,128988,Nigeria,Within 3 months,No
T00198,41,Teacher,18000,1,1BR,6471,77652,Togo,Immediate,No
T00199,31,Consultant,36137,2,2BR,14970,179640,Congo,Flexible,No
T00200,38,IT Professional,25725,2,2BR,9561,114732,Wallis and Futuna,Flexible,Yes
T00201,28,IT Professional,29762,3,3BR,9168,110016,Guam,Within 1 month,No
T00202,40,Sales & Marketing,22335,4,3BR,9241,110892,Portugal,Within 1 month,No
T00203,50,Engineer,37570,3,3BR,14455,173460,Egypt,Within 3 months,No
T00204,22,Entrepreneur,29313,3,2BR,11705,140460,Venezuela,Immediate,No
T00205,22,Engineer,18316,5,3BR,6172,74064,Saudi Arabia,Flexible,No
T00206,47,Finance Professional,38314,1,1BR,17215,206580,Guadeloupe,Within 3 months,No
T00207,39,Teacher,14270,3,3BR,6132,73584,China,Flexible,No
T00208,34,Teacher,11591,3,2BR,4058,48696,Bahrain,Immediate,No
T00209,40,Entrepreneur,41430,4,3BR,18121,217452,Guinea,Within 3 months,No
T00210,25,Engineer,29619,5,3BR,12076,144912,Bahrain,Flexible,No
T00211,51,Sales & Marketing,21057,4,2BR,9395,112740,Liechtenstein,Within 1 month,Yes
T00212,22,Healthcare Worker,23708,2,2BR,5944,71328,Congo,Within 3 months,No
T00213,22,Teacher,9617,1,Studio,2643,31716,Pitcairn Islands,Flexible,Yes
T00214,31,IT Professional,27665,2,2BR,10509,126108,France,Within 3 months,Yes
T00215,27,Hospitality,10374,2,1BR,2909,34908,Somalia,Flexible,No
T00216,36,Sales & Marketing,31446,1,Studio,10497,125964,Hong Kong,Within 3 months,No
T00217,41,Sales & Marketing,29035,1,1BR,7908,94896,Italy,Flexible,No
T00218,43,Engineer,30903,2,2BR,12662,151944,Yemen,Within 1 month,No
T00219,43,Sales & Marketing,18768,2,2BR,7672,92064,Thailand,Flexible,No
T00220,41,Teacher,18000,2,2BR,5341,64092,Angola,Within 3 months,No
T00221,25,Engineer,18294,3,2BR,7721,92652,Wallis and Futuna,Flexible,No
T00222,29,Manager,21733,2,1BR,9638,115656,Solomon Islands,Immediate,Yes
T00223,54,Healthcare Worker,23739,2,2BR,8424,101088,Jersey,Immediate,No
T00224,52,Engineer,30419,2,2BR,8686,104232,Zambia,Immediate,No
T00225,25,IT Professional,26059,2,2BR,9825,117900,Martinique,Within 3 months,No
T00226,23,Sales & Marketing,35000,5,3BR,11225,134700,Saint Kitts and Nevis,Flexible,No
T00227,29,Entrepreneur,51120,3,3BR,19994,239928,Montserrat,Immediate,No
T00228,28,Consultant,33385,2,2BR,11173,134076,Northern Mariana Islands,Flexible,Yes
T00229,33,Manager,39928,2,1BR,10677,128124,Mongolia,Flexible,No
T00230,29,Finance Professional,56669,4,2BR,18849,226188,Sudan,Immediate,No
T00231,30,Engineer,24652,1,1BR,9476,113712,Rwanda,Within 3 months,No
T00232,31,Engineer,31513,1,1BR,9484,113808,Saint Pierre and Miquelon,Within 3 months,No
T00233,40,Hospitality,6000,3,3BR,1900,22800,Canada,Immediate,No
T00234,29,IT Professional,33028,2,2BR,14087,169044,San Marino,Immediate,No
T00235,33,Sales & Marketing,17170,2,2BR,5471,65652,Equatorial Guinea,Within 1 month,Yes
T00236,30,Consultant,31544,4,2BR,10883,130596,Latvia,Within 3 months,No
T00237,49,Sales & Marketing,11413,3,3BR,3394,40728,Bosnia and Herzegovina,Flexible,No
T00238,48,Entrepreneur,32112,2,2BR,9724,116688,Guinea-Bissau,Immediate,Yes
T00239,43,Entrepreneur,47233,4,2BR,19246,230952,Lebanon,Immediate,No
T00240,35,Entrepreneur,38204,1,Studio,10428,125136,Slovakia (Slovak Republic),Immediate,No
T00241,46,Entrepreneur,38383,2,2BR,10328,123936,Gibraltar,Within 1 month,No
T00242,32,IT Professional,35871,2,1BR,13049,156588,Israel,Within 3 months,No
T00243,44,Engineer,33604,3,3BR,9405,112860,Uganda,Within 1 month,No
T00244,43,Healthcare Worker,26469,2,2BR,11193,134316,Bosnia and Herzegovina,Within 1 month,No
T00245,29,Manager,32684,5,3BR,10430,125160,Andorra,Immediate,Yes
T00246,26,Manager,22521,2,1BR,7199,86388,Mayotte,Immediate,No
T00247,54,Hospitality,9506,2,2BR,3910,46920,Aruba,Within 3 months,No
T00248,33,Finance Professional,38682,2,2BR,12037,144444,Papua New Guinea,Within 1 month,No
T00249,59,Teacher,15072,2,1BR,4028,48336,United States of America,Flexible,No
T00250,36,IT Professional,33202,5,3BR,14241,170892,Belarus,Within 1 month,No
T00251,30,IT Professional,19403,4,2BR,4869,58428,Argentina,Flexible,Yes
T00252,31,Sales & Marketing,23527,4,3BR,8788,105456,Spain,Within 3 months,Yes
T00253,40,Hospitality,10065,2,2BR,3053,36636,Croatia,Within 1 month,No
T00254,32,Hospitality,13681,2,1BR,3667,44004,Svalbard & Jan Mayen Islands,Within 1 month,No
T00255,32,Engineer,24401,1,Studio,6502,78024,Angola,Immediate,Yes
T00256,45,Hospitality,16498,1,1BR,7363,88356,Central African Republic,Within 3 months,No
T00257,50,Finance Professional,41746,5,3BR,11317,135804,Christmas Island,Flexible,No
T00258,46,Engineer,38070,1,Studio,14393,172716,Tuvalu,Within 3 months,Yes
T00259,22,Manager,32645,2,1BR,12978,155736,Bosnia and Herzegovina,Flexible,Yes
T00260,35,Entrepreneur,47492,2,2BR,12876,154512,Saint Barthelemy,Within 1 month,Yes
T00261,45,IT Professional,32091,2,2BR,13576,162912,Burundi,Flexible,Yes
T00262,32,Teacher,9565,1,1BR,2632,31584,Cote d'Ivoire,Flexible,No
T00263,52,Hospitality,15660,2,2BR,5333,63996,Myanmar,Immediate,No
T00264,27,Manager,36389,1,1BR,11708,140496,Guadeloupe,Flexible,Yes
T00265,34,IT Professional,41529,2,1BR,17664,211968,Haiti,Within 1 month,No
T00266,36,Consultant,27909,5,3BR,7039,84468,Botswana,Flexible,Yes
T00267,40,Healthcare Worker,22373,4,2BR,8764,105168,Christmas Island,Flexible,No
T00268,36,Hospitality,14552,5,3BR,6184,74208,Bhutan,Within 1 month,No
T00269,33,Engineer,27816,3,2BR,7888,94656,Tokelau,Flexible,No
T00270,49,Healthcare Worker,20435,2,2BR,6835,82020,Suriname,Within 1 month,No
T00271,46,Engineer,19817,2,2BR,5169,62028,Israel,Immediate,No
T00272,38,Consultant,26740,4,3BR,9969,119628,Nepal,Within 1 month,No
T00273,50,Finance Professional,55182,4,3BR,16423,197076,Malaysia,Within 3 months,No
T00274,35,Healthcare Worker,31802,1,1BR,9436,113232,Czech Republic,Within 3 months,No
T00275,22,IT Professional,22384,4,3BR,5938,71256,Burkina Faso,Flexible,Yes
T00276,34,Consultant,39881,2,2BR,11003,132036,Comoros,Flexible,No
T00277,38,Consultant,30794,1,Studio,12858,154296,Cape Verde,Immediate,Yes
T00278,29,Engineer,30141,5,3BR,11758,141096,Moldova,Flexible,No
T00279,45,Healthcare Worker,20300,5,3BR,8633,103596,Guinea,Within 1 month,No
T00280,52,Teacher,11992,2,2BR,3840,46080,United States Minor Outlying Islands,Immediate,No
T00281,22,IT Professional,35480,4,2BR,15151,181812,Eritrea,Flexible,Yes
T00282,48,Hospitality,17718,1,1BR,7422,89064,Bolivia,Within 3 months,No
T00283,47,Entrepreneur,43777,2,2BR,17388,208656,Estonia,Within 1 month,No
T00284,43,Consultant,35006,3,2BR,12285,147420,Brunei Darussalam,Within 1 month,Yes
T00285,40,Teacher,10650,2,1BR,4572,54864,Vietnam,Within 3 months,No
T00286,42,Healthcare Worker,26416,1,Studio,8462,101544,Chad,Within 1 month,No
T00287,41,Healthcare Worker,25692,2,2BR,10608,127296,Ireland,Immediate,No
T00288,22,Consultant,41124,2,2BR,18304,219648,Svalbard & Jan Mayen Islands,Within 1 month,Yes
T00289,31,Consultant,18000,3,3BR,7923,95076,Djibouti,Immediate,Yes
T00290,37,Teacher,11874,1,1BR,5000,60000,Niue,Immediate,No
T00291,26,Finance Professional,36545,4,2BR,11836,142032,Burkina Faso,Within 3 months,No
T00292,50,Engineer,24389,3,3BR,8929,107148,Isle of Man,Flexible,No
T00293,30,Healthcare Worker,25082,1,1BR,9018,108216,Samoa,Immediate,Yes
T00294,39,Sales & Marketing,24784,2,2BR,10699,128388,San Marino,Immediate,No
T00295,34,Sales & Marketing,17595,1,1BR,6830,81960,Brunei Darussalam,Immediate,Yes
T00296,45,Manager,49008,3,3BR,18400,220800,Brazil,Within 3 months,No
T00297,59,Finance Professional,42983,3,3BR,13288,159456,French Polynesia,Flexible,Yes
T00298,23,IT Professional,29516,2,2BR,11157,133884,Estonia,Flexible,No
T00299,31,Engineer,33283,2,1BR,10235,122820,Ghana,Within 3 months,No
T00300,31,Finance Professional,45825,3,2BR,17644,211728,Cook Islands,Within 1 month,No
T00301,33,Healthcare Worker,18639,1,1BR,4660,55920,United States of America,Within 1 month,No
T00302,33,IT Professional,32227,2,1BR,10085,121020,Lebanon,Within 1 month,No
T00303,34,Sales & Marketing,23433,5,3BR,6798,81576,Botswana,Flexible,Yes
T00304,32,Healthcare Worker,29349,4,3BR,9821,117852,Guadeloupe,Within 1 month,No
T00305,26,Teacher,12735,2,1BR,5550,66600,Oman,Within 1 month,No
T00306,24,Healthcare Worker,32097,1,Studio,8910,106920,Argentina,Flexible,No
T00307,22,Consultant,27552,2,1BR,12026,144312,Ethiopia,Immediate,No
T00308,49,Healthcare Worker,12000,2,2BR,3849,46188,Gibraltar,Within 3 months,No
T00309,37,Entrepreneur,63020,1,1BR,19455,233460,British Virgin Islands,Within 1 month,No
T00310,32,IT Professional,15352,2,2BR,5153,61836,Syrian Arab Republic,Flexible,Yes
T00311,45,Healthcare Worker,17136,1,1BR,5743,68916,Niger,Flexible,Yes
T00312,25,Finance Professional,39972,2,2BR,14101,169212,India,Within 3 months,No
T00313,26,Finance Professional,50763,5,3BR,18299,219588,Liechtenstein,Flexible,No
T00314,24,Engineer,32562,2,1BR,14565,174780,Mayotte,Within 1 month,No
T00315,33,Finance Professional,34029,4,3BR,11869,142428,Tokelau,Within 1 month,No
T00316,43,IT Professional,45000,1,Studio,17775,213300,Kazakhstan,Within 3 months,No
T00317,45,Manager,38406,1,1BR,13148,157776,Lithuania,Within 3 months,No
T00318,47,Hospitality,6000,3,3BR,2125,25500,Mexico,Flexible,No
T00319,42,Engineer,21220,2,2BR,7990,95880,Macao,Immediate,No
T00320,35,Consultant,33124,2,2BR,11123,133476,Sudan,Within 3 months,No
T00321,27,Manager,43536,4,3BR,17498,209976,Antigua and Barbuda,Within 3 months,No
T00322,22,Sales & Marketing,27324,5,3BR,7616,91392,Seychelles,Immediate,No
T00323,42,Engineer,31481,2,2BR,9163,109956,Switzerland,Within 3 months,No
T00324,34,Consultant,45033,2,1BR,16144,193728,Belgium,Within 3 months,Yes
T00325,53,Entrepreneur,57723,4,3BR,20033,240396,Philippines,Flexible,Yes
T00326,34,Engineer,17529,1,Studio,6885,82620,British Virgin Islands,Flexible,No
T00327,32,Hospitality,14247,3,3BR,6366,76392,Northern Mariana Islands,Within 1 month,No
